"70","60","652","36","333","256","65","10","14C","AA-58402","Dentaliidae","NA","NA"
"120","100","775","40","472","374","110","20","14C","C-5729","Scaphopod","NA","NA"
"380","370","1466","38","1053","956","375","10","14C","AA-58403","Dentaliidae","NA","NA"
"480","470","2154","38","1802","1697","475","10","14C","AA-58404","Dentaliidae","NA","NA"
"820","800","2910","40","2748","2659","810","20","14C","AA-70939","Benthic_foraminifera","NA","NA"
"1140","1130","3840","39","3850","3724","1135","10","14C","AA-65331","Mixed_benthic_foraminifera","x","Age_rejected_by_authors"
"1240","1230","3624","41","3574","3458","1235","10","14C","AA-58405","Dentaliidae","NA","NA"
"1420","1400","4568","44","4874","4618","1410","20","14C","AA-70940","Mixed_benthic_foraminifera","NA","NA"
"1640","1630","5636","57","6112","5953","1635","10","14C","NA","Mixed_planktic_foraminifera","NA","NA"
"1820","1800","6200","56","6779","6488","1810","20","14C","AA-70941","Mixed_benthic_foraminifera","NA","NA"
"1980","1970","7095","25","7606","7547","1975","10","14C","CUR-7757","Mixed_benthic_foraminifera","NA","NA"
"2420","2400","8379","51","9058","8900","2410","20","14C","AA-70942","Benthic_foraminifera","NA","NA"
"2820","2800","8978","53","9704","9541","2810","20","14C","AA-70943","Mixed_benthic_foraminifera","NA","NA"
"3160","3150","9393","66","10316","10167","3155","10","14C","AA-58406","Dentaliidae","NA","NA"
"3440","3430","9424","48","10328","10204","3435","10","14C","AA-58407","Axinopsis","NA","NA"
"3900","3890","9555","74","10509","10327","3895","10","14C","AA-58408","Mollusc","NA","NA"
"4020","4000","9710","65","10628","10502","4010","20","14C","C-5730","Scaphopod","NA","NA"
"4140","4130","9734","50","10634","10533","4135","10","14C","AA-58409","Nurculana_tenuisulcata","NA","NA"
"4480","4480","9735","51","10637","10533","4480","0","14C","AA-58970","Nurculana_tenuisulcata","NA","NA"
"5300","5290","10075","57","11177","11036","5295","10","14C","AA-58410","Nurculana_tenuisulcata","NA","NA"
"7920","7900","10700","55","12336","11869","7910","20","14C","C-5731","Scaphopod","NA","NA"
"11750","11720","11840","90","13374","13217","11735","30","14C","AA-35172","Unidentified_bivalve","NA","NA"
"22620","22600","13790","80","16087","15680","22610","20","14C","AA-35803","Unidentified_mollusc","NA","NA"
"23200","23200","42000",NA,NA,NA,"23200","0","14C","AA-42028","Unidentified_bivalve_fragment","NA","NA"
