NA,0,0,NA,NA,-57,0,0,0,0
NA,230,240,390,35,432,200,210,235,10
NA,510,520,1220,35,1151,470,480,515,10
NA,650,660,1755,30,1663,610,620,655,10
0.05,790,800,2080,120,2070,730,740,795,10
NA,1080,1090,3095,35,3313,950,960,1085,10
0.5,1160,1170,3505,35,3776,1000,1010,1165,10
0.78,1270,1280,3770,40,4140,1070,1080,1275,10
NA,1340,1350,4220,35,4757,1140,1150,1345,10
0.45,1540,1550,5340,50,6119,1320,1330,1545,10
0.64,1690,1700,5800,50,6598,1440,1450,1695,10
NA,1840,1850,7070,50,7896,1560,1570,1845,10
NA,2180,2190,8420,50,9439,1900,1910,2185,10
0.42,2360,2370,8890,80,9980,2080,2090,2365,10
NA,2360,2370,9250,50,10020,2080,2090,2365,10
